City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Charleston,East,5/1/1992,0:00,6.767,6.055,5.625,3.187,3.046,0.467,0.254,-0.924,0
Charleston,East,6/1/1992,0:00,7.406,6.327,5.854,3.387,3.246,0.625,0.395,-0.343,0
Charleston,East,7/1/1992,0:00,6.977,5.756,5.326,2.744,2.626,-0.074,-0.294,-1.416,0
Charleston,East,8/1/1992,0:00,6.566,5.795,5.487,2.925,2.797,0.116,-0.113,-1.403,0
Charleston,East,9/1/1992,0:00,7.567,6.137,5.825,3.354,3.236,0.644,0.487,-0.743,0
Charleston,East,10/1/1992,0:00,6.996,6.235,5.917,3.505,3.364,0.815,0.654,-0.474,0
Charleston,East,11/1/1992,0:00,7.567,6.005,5.664,3.217,3.085,0.517,0.356,-0.763,0
Charleston,East,12/1/1992,0:00,6.796,5.435,5.087,2.646,2.534,-0.015,-0.245,-2.134,0
Charleston,East,1/1/1993,0:00,7.334,5.887,5.517,3.095,2.987,0.454,0.277,-0.875,0
Charleston,East,2/1/1993,0:00,7.675,5.776,5.536,3.066,2.925,0.316,0.106,-0.543,0
Charleston,East,3/1/1993,0:00,6.757,5.435,5.034,2.534,2.436,-0.166,-0.445,-4.083,0
Charleston,East,4/1/1993,0:00,7.406,5.687,5.336,2.807,2.685,0.024,-0.153,-1.426,0
Charleston,East,5/1/1993,0:00,6.635,5.766,5.405,2.856,2.715,0.034,-0.143,-1.144,0
Charleston,East,6/1/1993,0:00,7.026,5.835,5.415,2.895,2.767,0.106,-0.064,-1.016,0
Charleston,East,7/1/1993,0:00,6.655,5.707,5.297,2.766,2.636,-0.025,-0.264,-0.815,0
Charleston,East,8/1/1993,0:00,7.186,5.766,5.487,2.997,2.866,0.254,0.057,-0.875,0
Charleston,East,9/1/1993,0:00,7.016,5.805,5.576,3.126,2.987,0.395,0.225,-0.894,0
Charleston,East,10/1/1993,0:00,7.616,6.166,5.864,3.456,3.315,0.766,0.625,-0.645,0
Charleston,East,11/1/1993,0:00,7.124,5.927,5.595,3.115,2.997,0.405,0.195,-1.285,0
Charleston,East,12/1/1993,0:00,7.285,5.664,5.316,2.797,2.665,0.005,-0.235,-2.203,0
Charleston,East,1/1/1994,0:00,6.557,5.307,4.985,2.387,2.301,-0.382,-0.615,-1.593,0
