City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
Boston,East,8/1/1982,9.625,5.065,0.274
Boston,East,9/1/1982,9.625,5.074,0.304
Boston,East,10/1/1982,9.966,5.347,0.514
Boston,East,11/1/1982,9.517,4.874,0.015
Boston,East,12/1/1982,9.736,5.015,0.084
Boston,East,1/1/1983,9.727,4.986,0.035
Boston,East,2/1/1983,9.937,5.284,0.386
Boston,East,3/1/1983,10.186,5.445,0.455
Boston,East,4/1/1983,10.114,5.425,0.475
Boston,East,5/1/1983,9.795,5.215,0.416
Boston,East,6/1/1983,9.786,5.225,0.435
Boston,East,7/1/1983,9.874,5.304,0.504
Boston,East,8/1/1983,9.874,5.284,0.455
Boston,East,9/1/1983,9.786,5.206,0.376
Boston,East,10/1/1983,9.874,5.324,0.547
Boston,East,11/1/1983,10.104,5.504,0.704
Boston,East,12/1/1983,9.756,5.137,0.304
Boston,East,1/1/1984,9.474,4.927,0.176
Boston,East,2/1/1984,9.664,5.074,0.284
Boston,East,3/1/1984,9.825,5.274,0.514
Boston,East,4/1/1984,10.176,5.547,0.665
Boston,East,5/1/1984,9.795,5.215,0.386
Boston,East,6/1/1984,9.904,5.337,0.514
Boston,East,7/1/1984,9.845,5.166,0.245
Boston,East,8/1/1984,9.986,5.314,0.386
Boston,East,9/1/1984,9.586,5.025,0.245
Boston,East,10/1/1984,9.717,5.215,0.504
Boston,East,11/1/1984,9.684,5.215,0.586
Boston,East,12/1/1984,9.435,5.035,0.425
Boston,East,1/1/1985,9.566,5.166,0.566
Boston,East,2/1/1985,9.615,5.015,0.215
Boston,East,3/1/1985,9.444,4.956,0.215
Boston,East,4/1/1985,9.615,5.065,0.274
Boston,East,5/1/1985,9.927,5.314,0.465
Boston,East,6/1/1985,9.845,5.245,0.357
Boston,East,7/1/1985,9.795,5.206,0.386
Boston,East,8/1/1985,9.736,5.245,0.504
Boston,East,9/1/1985,9.766,5.265,0.547
Boston,East,10/1/1985,9.586,5.114,0.445
Boston,East,11/1/1985,9.825,5.366,0.724
Boston,East,12/1/1985,9.586,5.156,0.534
Boston,East,1/1/1986,9.366,4.795,0.015
Boston,East,2/1/1986,9.707,5.127,0.337
Boston,East,3/1/1986,9.435,4.845,0.055
Boston,East,4/1/1986,9.894,5.347,0.547
Boston,East,5/1/1986,9.937,5.314,0.435
Boston,East,6/1/1986,9.795,5.206,0.357
Boston,East,7/1/1986,9.776,5.294,0.586
Boston,East,8/1/1986,9.556,5.147,0.514
Boston,East,9/1/1986,9.494,5.094,0.504
Boston,East,10/1/1986,9.645,5.235,0.655
Boston,East,11/1/1986,9.494,5.005,0.324
Boston,East,12/1/1986,9.576,4.986,0.235
Boston,East,1/1/1987,9.927,5.265,0.386
Boston,East,2/1/1987,9.415,4.894,0.166
Boston,East,3/1/1987,9.864,5.245,0.386
Boston,East,4/1/1987,9.937,5.406,0.626
Boston,East,5/1/1987,9.526,5.084,0.425
Boston,East,6/1/1987,9.645,5.206,0.547
Boston,East,7/1/1987,9.707,5.245,0.557
Boston,East,8/1/1987,9.674,5.196,0.484
Boston,East,9/1/1987,9.664,5.176,0.465
Boston,East,10/1/1987,9.576,5.104,0.386
Boston,East,11/1/1987,9.536,5.015,0.284
Boston,East,12/1/1987,9.756,5.255,0.576
Boston,East,1/1/1988,9.107,4.684,0.065
Boston,East,2/1/1988,9.326,4.884,0.206
Boston,East,3/1/1988,9.297,4.874,0.225
Boston,East,4/1/1988,9.917,5.435,0.734
Boston,East,5/1/1988,9.605,5.156,0.484
Boston,East,6/1/1988,9.766,5.284,0.586
Boston,East,7/1/1988,9.625,5.065,0.255
Boston,East,8/1/1988,9.766,5.147,0.284
Boston,East,9/1/1988,9.556,5.035,0.294
Boston,East,10/1/1988,9.684,5.206,0.534
Boston,East,11/1/1988,9.536,5.094,0.494
Boston,East,12/1/1988,9.405,4.976,0.357
Boston,East,1/1/1989,9.326,4.904,0.284
Boston,East,2/1/1989,9.395,4.815,0.025
Boston,East,3/1/1989,9.205,4.795,0.104
Boston,East,4/1/1989,9.474,4.956,0.186
Boston,East,5/1/1989,9.684,5.127,0.304
Boston,East,6/1/1989,9.835,5.265,0.445
Boston,East,7/1/1989,9.736,5.186,0.416
Boston,East,8/1/1989,9.766,5.245,0.524
Boston,East,9/1/1989,9.615,5.114,0.396
Boston,East,10/1/1989,9.664,5.166,0.475
Boston,East,11/1/1989,9.595,5.137,0.524
Boston,East,12/1/1989,9.356,4.835,0.114
Boston,East,1/1/1990,9.425,4.855,0.065
Boston,East,2/1/1990,9.346,4.864,0.137
Boston,East,3/1/1990,9.307,4.684,-0.126
Boston,East,4/1/1990,9.425,4.855,0.045
Boston,East,5/1/1990,9.815,5.265,0.475
Boston,East,6/1/1990,9.746,5.255,0.547
Boston,East,7/1/1990,9.566,5.127,0.445
Boston,East,8/1/1990,9.684,5.294,0.675
Boston,East,9/1/1990,9.664,5.265,0.655
Boston,East,10/1/1990,9.707,5.225,0.576
Boston,East,11/1/1990,9.805,5.255,0.494
Boston,East,12/1/1990,9.595,4.946,0.104
Boston,East,1/1/1991,9.586,5.005,0.245
Boston,East,2/1/1991,9.464,4.946,0.235
Boston,East,3/1/1991,9.937,5.337,0.494
Boston,East,4/1/1991,9.736,5.196,0.416
Boston,East,5/1/1991,9.635,5.176,0.504
Boston,East,6/1/1991,9.855,5.366,0.626
Boston,East,7/1/1991,9.707,5.245,0.465
Boston,East,8/1/1991,9.805,5.255,0.465
Boston,East,9/1/1991,9.694,5.166,0.406
Boston,East,10/1/1991,9.884,5.376,0.635
Boston,East,11/1/1991,10.084,5.274,0.186
Boston,East,12/1/1991,9.776,5.104,0.206
Boston,East,1/1/1992,9.795,5.156,0.304
Boston,East,2/1/1992,9.825,5.176,0.255
Boston,East,3/1/1992,9.717,5.114,0.284
Boston,East,4/1/1992,9.815,5.206,0.324
Boston,East,5/1/1992,9.805,5.156,0.265
Boston,East,6/1/1992,10.104,5.386,0.416
Boston,East,7/1/1992,10.055,5.255,0.186
Boston,East,8/1/1992,10.015,5.186,0.114
Boston,East,9/1/1992,9.727,5.045,0.127
Boston,East,10/1/1992,9.746,5.176,0.406
Boston,East,11/1/1992,9.674,5.127,0.366
Boston,East,12/1/1992,9.825,5.255,0.475
Boston,East,1/1/1993,9.645,5.015,0.135
Boston,East,2/1/1993,10.065,5.265,0.205
Boston,East,3/1/1993,9.835,5.055,-0.025
Boston,East,4/1/1993,10.315,5.475,0.315
Boston,East,5/1/1993,10.265,5.405,0.225
Boston,East,6/1/1993,10.155,5.305,0.175
Boston,East,7/1/1993,10.155,5.335,0.255
Boston,East,8/1/1993,9.985,5.265,0.295
Boston,East,9/1/1993,9.955,5.245,0.265
Boston,East,10/1/1993,9.845,5.175,0.285
Boston,East,11/1/1993,9.715,5.005,0.095
Boston,East,12/1/1993,9.945,5.235,0.275
Boston,East,1/1/1994,9.513,4.694,-0.398
Boston,East,2/1/1994,9.618,4.851,-0.155
Boston,East,3/1/1994,10.035,5.087,-0.116
Boston,East,4/1/1994,9.622,4.825,-0.27
Boston,East,5/1/1994,10.032,5.304,0.278
Boston,East,6/1/1994,9.805,5.051,0.025
Boston,East,7/1/1994,9.835,5.199,0.291
Boston,East,8/1/1994,9.753,5.156,0.271
Boston,East,9/1/1994,10.005,5.311,0.399
Boston,East,10/1/1994,9.845,5.179,0.297
Boston,East,11/1/1994,9.668,4.927,-0.07
Boston,East,12/1/1994,9.878,5.058,0.022
Boston,East,1/1/1995,9.878,4.999,-0.178
Boston,East,2/1/1995,9.697,4.943,-0.054
Boston,East,3/1/1995,9.851,5.042,-0.063
Boston,East,4/1/1995,9.776,5.012,-0.018
Boston,East,5/1/1995,9.996,5.314,0.357
Boston,East,6/1/1995,9.763,5.094,0.147
Boston,East,7/1/1995,9.907,5.212,0.238
Boston,East,8/1/1995,10.127,5.33,0.271
Boston,East,9/1/1995,10.022,5.255,0.225
Boston,East,10/1/1995,10.058,5.33,0.35
Boston,East,11/1/1995,10.189,5.402,0.406
Boston,East,12/1/1995,10.13,5.347,0.393
Boston,East,1/1/1996,9.996,5.343,0.514
Boston,East,2/1/1996,9.91,5.179,0.245
Boston,East,3/1/1996,9.743,5.107,0.294
Boston,East,4/1/1996,10.11,5.439,0.576
Boston,East,5/1/1996,9.992,5.291,0.402
Boston,East,6/1/1996,10.005,5.271,0.33
Boston,East,7/1/1996,10.209,5.366,0.284
Boston,East,8/1/1996,10.117,5.278,0.219
Boston,East,9/1/1996,10.675,5.757,0.55
Boston,East,10/1/1996,10.327,5.619,0.635
Boston,East,11/1/1996,10.12,5.442,0.557
Boston,East,12/1/1996,10.094,5.458,0.619
Boston,East,1/1/1997,9.851,5.222,0.37
Boston,East,2/1/1997,9.907,5.11,0.104
Boston,East,3/1/1997,9.946,5.186,0.215
Boston,East,4/1/1997,10.445,5.612,0.55
Boston,East,5/1/1997,10.081,5.268,0.212
Boston,East,6/1/1997,10.209,5.432,0.393
Boston,East,7/1/1997,10.012,5.284,0.317
Boston,East,8/1/1997,10.048,5.353,0.412
Boston,East,9/1/1997,10.012,5.363,0.475
Boston,East,10/1/1997,10.009,5.383,0.534
Boston,East,11/1/1997,10.14,5.517,0.675
Boston,East,12/1/1997,9.992,5.343,0.445
